City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Okha,80,RU,1541304605,30.82,27.65,53.59,142.95,84
Belyy Yar,0,RU,1541302200,33.8,20.13,53.6,91.39,59
Ahuimanu,75,US,1541302260,80.96,3.36,21.44,-157.84,78
Havoysund,88,NO,1541303400,41,20.8,71,24.66,65
Salalah,0,OM,1541299800,75.2,4.7,17.01,54.1,60
Baykit,44,RU,1541304606,8.46,10.25,61.68,96.39,69
Mangaratiba,90,BR,1541300400,75.2,18.34,-22.96,-44.04,94
Zelenoborskiy,20,RU,1541304650,32.98,8.52,66.84,32.36,95
Chicama,40,PE,1541300400,64.4,9.17,-7.84,-79.15,88
Zhaotong,80,CN,1541304651,51.75,3.2,27.34,103.71,87
Blackfoot,1,US,1541299980,42.98,16.11,43.19,-112.35,57
Beloha,44,MG,1541304651,66.1,11.92,-25.17,45.06,77
Tuktoyaktuk,40,CA,1541300400,-0.41,5.82,69.44,-133.03,84
Marystown,92,CA,1541304652,56.88,29.1,47.17,-55.16,88
Trairi,80,BR,1541304652,80.68,19.19,-3.28,-39.27,99
Komsomolskiy,44,RU,1541304652,12.28,2.82,67.55,63.78,79
Naze,76,NG,1541304652,74.61,4.09,5.43,7.07,93
Kota Kinabalu,75,MY,1541302200,91.4,5.82,5.98,116.07,70
Martapura,20,ID,1541304653,88.6,3.31,-3.41,114.85,76
Yaan,24,NG,1541304653,73.71,7.56,7.38,8.57,92
Am Timan,0,TD,1541304653,67.86,3.09,11.04,20.28,79
Southbridge,1,US,1541303760,46.94,11.41,42.08,-72.03,57
Tiksi,48,RU,1541304654,-0.19,9.86,71.64,128.87,75
Erzin,0,TR,1541301600,66.2,10.29,36.95,36.2,42
Leningradskiy,80,RU,1541304654,28.66,11.25,69.38,178.42,98
Vanavara,68,RU,1541304654,23.53,8.79,60.35,102.28,73
Luena,12,AO,1541304655,62.77,2.59,-11.78,19.91,95
Irituia,20,BR,1541304655,76.05,6.78,-1.77,-47.44,88
Zatoka,90,PL,1541304000,50,11.41,50.04,20.52,100
Port Blair,0,IN,1541304656,84.37,15.39,11.67,92.75,98
Onega,92,RU,1541304656,42.61,13.27,63.91,38.09,100
Aykhal,56,RU,1541304656,9.58,5.06,65.95,111.51,78
Saint Anthony,90,US,1541300160,42.98,13.87,43.97,-111.68,55
Bambous Virieux,40,MU,1541300400,75.2,6.11,-20.34,57.76,83
Grand-Lahou,48,CI,1541304657,74.79,3.27,5.24,-5,94
San Jose,0,PH,1541304085,83.65,2.86,15.79,120.99,78
Vima Mica,12,RO,1541302200,53.6,1.12,47.4,23.72,87
Lasa,0,CY,1541304000,73.4,4.7,34.92,32.53,52
Saskylakh,64,RU,1541304657,-3.16,3.31,71.97,114.09,74
Smoky Lake,64,CA,1541304658,29.25,5.61,54.11,-112.47,80
Kedrovyy,75,RU,1541302200,19.4,15.66,56.17,91.82,67
Tuatapere,68,NZ,1541304658,49.41,23.55,-46.13,167.69,100
Bezhetsk,76,RU,1541304659,43.11,16.46,57.78,36.69,96
San Ramon,100,NI,1541304659,71.19,2.86,12.92,-85.84,89
Nizwa,8,OM,1541304659,54.09,2.3,22.93,57.53,51
Tevaitoa,12,PF,1541304659,80.46,4.83,-16.78,-151.5,100
Pyaozerskiy,88,RU,1541304660,33.75,7.52,65.83,31.17,91
Teguise,88,ES,1541304000,68,9.17,29.06,-13.56,72
Luderitz,44,NA,1541300400,60.8,5.82,-26.65,15.16,72
Chimore,76,BO,1541304660,77.58,2.53,-16.98,-65.13,87
Nadym,12,RU,1541304708,-3.29,3.87,65.53,72.51,51
Saint-Joseph,0,FR,1541304000,62.6,4.7,43.56,6.97,77
Lufilufi,48,WS,1541304715,81.45,23.06,-13.87,-171.6,100
Huzhou,64,CN,1541304717,67.5,6.29,30.86,120.1,91
North Battleford,75,CA,1541303040,30.2,9.17,52.78,-108.3,92
Antofagasta,90,CL,1541300400,60.8,6.93,-23.65,-70.4,77
Ponnani,40,IN,1541304000,82.4,6.93,10.77,75.93,83
Pauini,20,BR,1541304726,73.26,3.04,-7.71,-67,98
Gap,0,FR,1541304726,29.02,2.04,44.56,6.08,100
Mahajanga,20,MG,1541300400,77,4.7,-15.72,46.32,73
Along,92,IN,1541304727,56.79,1.86,28.17,94.8,99
Lenger,20,KZ,1541302200,35.6,1.97,42.18,69.89,68
Derzhavinsk,88,KZ,1541304727,30.55,6.22,51.1,66.31,90
Labuhan,20,ID,1541304727,85.18,1.97,-2.54,115.51,74
Noumea,0,NC,1541302200,86,13.87,-22.28,166.46,37
Sheridan,90,US,1541302920,42.8,5.82,39.65,-105.03,75
Lebu,0,ET,1541304685,38.79,2.71,8.96,38.73,82
Kizema,88,RU,1541304728,40.5,8.79,61.11,44.83,96
Brae,92,GB,1541303400,53.6,24.16,60.4,-1.35,81
Tadine,0,NC,1541304729,75.91,14.16,-21.55,167.88,91
Waipawa,0,NZ,1541304729,58.18,26.08,-39.94,176.59,54
Berlin,75,DE,1541303400,46.4,4.7,52.52,13.39,93
Vostok,8,RU,1541304729,32.53,3.71,46.45,135.83,62
Geraldton,90,CA,1541300400,26.6,3.36,49.72,-86.95,86
Pacific Grove,1,US,1541302500,66.2,4.83,36.62,-121.92,24
Port Moresby,40,PG,1541300400,89.6,17.22,-9.47,147.16,66
Camopi,8,GF,1541304730,79.42,3.76,3.17,-52.33,73
Praya,75,ID,1541304000,86,12.75,-8.71,116.27,74
Broken Hill,0,AU,1541304569,86.76,5.61,-31.97,141.45,44
Baturaja,36,ID,1541304731,83.47,4.61,-4.12,104.17,82
Melission,20,GR,1541303400,48.2,8.05,40.77,22.34,81
Merritt Island,1,US,1541300160,75.02,4.7,28.54,-80.67,73
Cockburn Town,88,TC,1541304731,81.9,19.08,21.46,-71.14,99
Kruisfontein,36,ZA,1541304597,63.99,13.04,-34,24.73,67
Ingham,76,AU,1541304732,78.16,7.63,-18.65,146.16,94
Mbigou,88,GA,1541304732,70.11,2.59,-1.9,11.91,96
Verkhniy Fiagdon,0,RU,1541304732,17.01,0.96,42.83,44.31,84
Beaverlodge,90,CA,1541304300,26.6,8.05,55.21,-119.43,100
Vardo,1,US,1541303700,46.94,4.7,39.62,-77.74,92
Ca Mau,88,VN,1541304733,84.82,13.67,9.18,105.15,88
Shimoda,75,JP,1541302620,59,9.17,34.7,138.93,93
Pochutla,36,MX,1541304733,80.46,7,15.74,-96.47,100
Dasoguz,0,TM,1541302200,28.4,4.7,41.84,59.97,73
Novoseleznevo,88,RU,1541304734,30.46,13.27,55.68,69.21,94
Myaundzha,76,RU,1541304734,1.89,5.21,63.05,147.18,78
Lorengau,56,PG,1541304768,83.56,7.52,-2.02,147.27,100
Ayia Galini,40,GR,1541303400,66.2,9.17,35.1,24.68,88
Harper,90,US,1541303700,61.7,8.41,30.3,-99.24,81
San Clemente,90,US,1541300280,75.02,2.71,33.43,-117.61,96
Faro,0,PT,1541302200,53.6,4.7,37.02,-7.94,93
Portland,90,US,1541303580,55.04,5.82,45.52,-122.67,89
Samarskoye,76,RU,1541304779,39.73,7,46.94,39.69,91
Sidi Ali,0,DZ,1541304782,41.13,2.75,36.1,0.42,90
Lavrentiya,76,RU,1541304596,36.63,9.57,65.58,-170.99,100
Acoua,75,YT,1541302200,80.6,10.29,-12.72,45.06,78
Praia,24,BR,1541304787,65.83,2.26,-20.25,-43.81,82
Rodeo,0,MX,1541304788,50.26,2.48,25.18,-104.56,77
Gamba,0,CN,1541304790,18.58,2.98,28.28,88.52,46
Isabela,44,PH,1541304791,85.63,3.31,10.2,122.99,70
Shimorskoye,92,RU,1541304792,44.5,10.76,55.33,42.04,99
Santa Fe,0,AR,1541304576,68.04,7.4,-31.62,-60.7,58
Harpanahalli,76,IN,1541304794,75.01,9.31,14.8,75.98,78
Lagos,20,NG,1541300400,77,3.36,6.46,3.39,94
Kuusamo,90,FI,1541303400,32,8.05,65.96,29.19,94
Coahuayana,92,MX,1541304626,63.85,1.81,18.62,-100.35,97
Durres,0,AL,1541303400,50,4.38,41.32,19.44,93
Kassala,0,SD,1541304800,67.81,3.2,15.45,36.38,74
Lubao,75,PH,1541304000,93.2,4.7,14.94,120.6,55
Aswan,0,EG,1541304801,56.2,2.53,24.09,32.9,94
Buta,88,CD,1541304801,71.01,1.74,2.79,24.73,98
Ambon,0,FR,1541304000,44.6,8.05,47.55,-2.56,87
Alamosa,1,US,1541299920,35.06,8.05,37.47,-105.87,56
Puerto Madryn,8,AR,1541304802,61.38,15.35,-42.77,-65.04,58
Mogadishu,8,SO,1541304802,80.86,5.99,2.04,45.34,98
Sur,0,OM,1541304223,77.4,13.11,22.57,59.53,98
Mglin,80,RU,1541304802,46.53,3.04,53.06,32.85,98
Kuito,56,AO,1541304803,59.26,2.86,-12.38,16.94,93
Tateyama,75,JP,1541300400,60.8,3.36,36.66,137.31,67
Stara Vyzhivka,92,UA,1541304803,50.76,8.9,51.44,24.44,95
Jumla,92,NP,1541304803,30.82,0.69,29.28,82.18,100
Sao Felix do Xingu,12,BR,1541304804,75.24,1.97,-6.64,-51.99,95
Kodinar,0,IN,1541304804,79.87,4.32,20.79,70.7,48
La Ronge,90,CA,1541300400,32,8.05,55.1,-105.3,89
Canmore,40,CA,1541304000,37.4,3.36,51.09,-115.35,59
Prainha,24,BR,1541304805,80.23,2.59,-1.8,-53.48,83
Morondava,0,MG,1541304805,71.01,8.23,-20.3,44.28,89
Katobu,32,ID,1541304805,87.66,0.74,-4.94,122.53,79
Muros,75,ES,1541304000,50,5.82,42.77,-9.06,100
Na Wa,0,TH,1541304000,84.2,3.36,17.49,104.1,54
Manggar,44,ID,1541304830,83.79,4.54,-2.88,108.27,99
Vilcun,0,CL,1541304833,46.21,9.53,-38.65,-72.23,76
Roald,24,NO,1541303400,57.2,16.11,62.58,6.12,54
Vryburg,56,ZA,1541304843,63.4,19.53,-26.96,24.73,57
Ahipara,8,NZ,1541304844,62.68,20.15,-35.17,173.16,77
Levin,92,NZ,1541304845,53.73,23.22,-40.62,175.28,92
Hokitika,92,NZ,1541304573,52.96,23.73,-42.72,170.96,100
Suksun,92,RU,1541304847,34.83,16.4,57.15,57.4,98
Honolulu,75,US,1541302260,80.96,3.36,21.3,-157.86,78
Choya,88,RU,1541304847,30.15,5.88,52.01,86.55,85
Ongandjera,0,NA,1541304847,69.61,11.43,-17.88,15.07,35
Limbang,75,BN,1541304000,89.6,4.7,4.75,115.01,70
Bawku,0,GH,1541304848,70.83,2.71,11.06,-0.24,83
Kutum,0,SD,1541304848,59.94,9.8,14.2,24.66,37
Peniche,90,PT,1541304000,55.4,4.7,39.36,-9.38,87
Sao Lourenco do Sul,44,BR,1541304848,61.83,5.21,-31.37,-51.98,91
Novopokrovka,36,RU,1541304849,35.73,5.06,45.85,134.51,55
Port Hardy,90,CA,1541304000,57.2,9.17,50.7,-127.42,93
Atasu,80,KZ,1541304806,27.4,5.61,48.68,71.64,94
Nisia Floresta,40,BR,1541304000,80.6,12.75,-6.09,-35.21,74
Kupang,0,ID,1541304850,89.55,7.63,-10.16,123.6,72
Najran,0,SA,1541300400,60.8,2.59,17.54,44.22,55
Umm Kaddadah,0,SD,1541304850,64.53,10.92,13.6,26.69,32
Petropavlovsk-Kamchatskiy,75,RU,1541302200,44.6,4.47,53.05,158.65,70
Iranshahr,0,IR,1541300400,53.6,4.7,27.21,60.69,17
Termoli,64,IT,1541304851,60.07,2.19,42,14.99,94
San Quintin,20,PH,1541304000,84.2,6.93,17.54,120.52,83
Wrexham,92,GB,1541303400,53.6,11.41,53.05,-2.99,81
Tooele,1,US,1541303760,46.04,6.93,40.53,-112.3,61
Kirksville,90,US,1541302500,46.94,9.17,40.19,-92.58,100
Pisco,0,PE,1541300400,64.4,13.87,-13.71,-76.2,88
Swellendam,100,ZA,1541300400,60.8,14.99,-34.02,20.44,87
Savelugu,12,GH,1541304852,76.45,7.23,9.63,-0.83,75
Constantine,75,DZ,1541302200,51.8,20.8,36.36,6.61,81
Hualmay,20,PE,1541304853,61.51,4.83,-11.1,-77.61,91
Arman,20,RU,1541302200,24.8,6.71,59.7,150.17,68
Gigmoto,0,PH,1541304853,83.25,12.15,13.78,124.39,96
San Carlos de Bariloche,20,AR,1541300400,48.2,28.86,-41.13,-71.31,70
Byron Bay,0,AU,1541302200,77,12.75,-28.65,153.62,73
Poltavka,8,RU,1541304854,22.81,8.79,54.36,71.76,83
Lata,24,IN,1541304854,42.39,1.86,30.78,78.62,99
Vila Velha,75,BR,1541304000,80.6,10.29,-3.71,-38.6,78
Tokmak,8,UA,1541304855,29.34,2.82,47.26,35.7,78
Kapuskasing,90,CA,1541300400,30.2,3.36,49.42,-82.43,68
Hay River,40,CA,1541300400,12.2,9.17,60.82,-115.79,92
Kamenka,92,RU,1541304889,36.31,12.82,53.19,44.05,96
Vanimo,12,PG,1541304890,82.53,10.87,-2.67,141.3,100
Marsa Matruh,0,EG,1541304891,53.77,2.98,31.35,27.25,82
Pyay,0,MM,1541304891,82.71,4.38,18.82,95.22,87
Wainwright,0,CA,1541304891,28.35,9.64,52.84,-110.86,86
Le Port,48,FR,1541304892,19.71,1.59,42.87,1.37,73
Comodoro Rivadavia,0,AR,1541300400,64.4,29.97,-45.87,-67.48,66
Yarega,92,RU,1541304892,32.31,2.71,63.43,53.58,100
Mokolo,12,CM,1541304892,65.16,2.3,10.74,13.8,63
Dakar,0,SN,1541300400,73.4,9.17,14.69,-17.45,78
Turgutlu,0,TR,1541303400,57.2,13.87,38.5,27.71,62
Sao Jose da Coroa Grande,100,BR,1541304893,76.05,7.11,-8.9,-35.15,88
Jieshi,36,CN,1541304893,75.46,10.76,22.82,115.83,97
Campbell River,90,CA,1541304000,51.8,18.34,50.02,-125.24,100
Adrar,0,DZ,1541300400,55.4,10.29,27.87,-0.29,43
Kwinana,8,AU,1541304000,71.6,12.75,-32.25,115.77,52
Chapais,90,CA,1541303160,30.2,13.87,49.78,-74.86,92
Angoram,44,PG,1541304895,93.82,3.09,-4.06,144.07,54
Makakilo City,75,US,1541302260,80.96,3.36,21.35,-158.09,78
Georgetown,40,GY,1541300400,77,4.7,6.8,-58.16,94
Beringovskiy,68,RU,1541304627,31.68,7.9,63.05,179.32,100
Russkaya Polyana,8,RU,1541304895,21.55,7.78,53.78,73.88,87
Kandrian,32,PG,1541304895,79.42,4.72,-6.21,149.55,100
Santiago del Estero,56,AR,1541304896,69.25,3.83,-27.8,-64.26,99
Aracati,0,BR,1541304896,79.06,12.55,-4.56,-37.77,77
Galeana,20,MX,1541304896,45.76,2.86,24.83,-100.08,73
Issia,88,CI,1541304896,73.71,3.09,6.49,-6.58,96
Necochea,0,AR,1541304859,54.18,8.12,-38.55,-58.74,94
Rudnaya Pristan,0,RU,1541304897,50.58,6.78,44.36,135.82,57
Padang,0,ID,1541304628,82.12,3.49,-0.92,100.36,100
Shakiso,92,ET,1541304897,59.71,1.81,5.77,38.9,92
Deputatskiy,44,RU,1541304749,-13.6,2.71,69.3,139.9,59
Paamiut,0,GL,1541304754,29.11,12.37,61.99,-49.67,100
Qinzhou,76,CN,1541304898,76.45,4.83,21.96,108.62,85
Pakxan,0,LA,1541304898,76.72,2.59,18.39,103.66,68
Ankang,44,CN,1541304898,57.37,2.37,32.73,108.99,46
Severnoye,92,RU,1541304898,33.39,12.93,54.09,52.54,70
Hambantota,56,LK,1541304899,79.65,6.29,6.12,81.12,100
Merauke,56,ID,1541304899,87.52,6.06,-8.49,140.4,87
Ziro,90,IN,1541304000,69.8,2.24,27.54,93.82,94
Somerset,1,US,1541302500,48.92,4.7,37.09,-84.6,75
Wuwei,80,CN,1541304900,31.41,3.27,37.93,102.64,76
Cartagena del Chaira,8,CO,1541304900,75.51,2.48,1.33,-74.84,89
Villa del Rosario,75,CO,1541300400,77,1.59,7.83,-72.47,94
Champerico,75,MX,1541299800,75.2,6.93,16.38,-93.6,78
Rapid Valley,40,US,1541303760,33.8,4.7,44.06,-103.15,100
Santiago,0,CL,1541304000,53.6,8.05,-33.44,-70.65,76
Sortland,92,NO,1541303400,44.6,13.87,68.69,15.42,56
Enumclaw,90,US,1541303880,55.04,4.7,47.2,-121.99,87
Liverpool,92,GB,1541303400,51.8,11.41,53.41,-2.98,81
Amga,64,RU,1541304892,12.28,9.01,60.89,131.98,54
Cheney,90,US,1541303880,48.02,11.41,47.49,-117.58,100
Ilulissat,80,GL,1541303400,17.6,14.99,69.22,-51.1,78
Ronnenberg,90,DE,1541303400,39.2,8.05,52.32,9.65,100
Isiro,88,CD,1541304950,66.82,2.26,2.77,27.62,99
Blackwater,90,GB,1541303400,50,9.17,51.33,-0.78,76
Dublin,75,IE,1541304000,50,12.75,53.35,-6.26,76
Gobabis,100,NA,1541300400,71.6,2.24,-22.45,18.97,30
Newport Beach,20,US,1541304420,75.2,7.52,33.62,-117.93,61
Batsfjord,92,NO,1541304951,41.35,9.57,70.63,29.72,100
Niquelandia,56,BR,1541304951,71.41,2.82,-14.47,-48.46,92
Vila Franca do Campo,75,PT,1541304000,64.4,8.05,37.72,-25.43,82
Teluknaga,40,ID,1541304000,87.8,4.7,-6.1,106.64,62
Hirara,20,JP,1541300400,82.4,6.93,24.8,125.28,74
Guerrero Negro,0,MX,1541304801,64.89,8.41,27.97,-114.04,94
Tarakan,68,ID,1541304952,84.91,1.86,3.3,117.63,88
Sobolevo,8,RU,1541304952,40.81,7.52,54.43,31.9,95
Markala,8,ML,1541304953,71.91,5.84,13.69,-6.07,51
Mega,12,ET,1541304953,60.3,4.61,4.06,38.32,96
Wanning,75,AT,1541303400,51.8,6.93,48.64,13.53,93
Rio Grande,20,BR,1541304954,62.64,4.76,-32.03,-52.1,99
Juarez,0,AR,1541300400,68,6.93,-38.95,-67.92,30
Krutinka,68,RU,1541304954,24.93,12.55,56.01,71.51,93
Clifton,0,AU,1541300400,95,13.87,-27.93,151.91,30
Lentate sul Seveso,40,IT,1541303400,53.6,1.12,45.68,9.12,100
Klaksvik,92,FO,1541303400,46.4,23.04,62.23,-6.59,93
Heiligenhafen,0,DE,1541304955,48.28,15.46,54.37,10.98,100
Hinton,88,CA,1541304955,35.77,2.75,53.4,-117.57,82
Lyaskelya,8,RU,1541304956,37.57,12.59,61.77,31.02,90
Pointe-Noire,75,CG,1541300400,75.2,2.24,-4.8,11.85,94
Hearst,12,CA,1541304956,19.98,2.86,49.69,-83.67,79
Pekan,75,MY,1541304000,86,5.82,3.49,103.39,79
Inhambane,20,MZ,1541300400,66.2,6.11,-23.87,35.38,59
Primo Tapia,1,MX,1541303580,68,6.06,32.22,-116.92,78
